项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
P38,PT CHENGMACH NICKEL INDONESIA 盛迈镍业,2025-12,规划,盛迈项目终止,盛屯披露终止PT Chengmach Nickel Indonesia冰镍项目，原定建设和投产计划不再执行。历史设计规模因此不继续计入未来新增供应。,Chengtun audit report,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12004812&stockid=600711
NPI069,PT Mitra Murni Perkasa (MMP) 米特拉穆尔尼冶炼,2025-12-08,合同,与Mitsui签署MoU,MMP与Mitsui就产品营销及潜在投资合作签署备忘录，扩大市场渠道并探索资本合作；MoU并不证明Mitsui已经入股或取得包销权。,MMP与Mitsui官方MoU,https://www.mitramurniperkasa.com/en/pt-mitra-murni-perkasa-dan-mitsui-co-ltd-menandatangani-mou-untuk-mendorong-hilirisasi-nikel-dan-akses-pasar-global/
RF002,PT Eternal Nickel Industry 永恒镍业,2025-12-16,经营,PTENICO获LME注册,LME批准PTENICO全板阴极镍品牌上市，登记年能力5万吨；品牌注册是质量与交割资格节点，不是工厂首产日期。,LME Notice 25/235：PTENICO品牌上市,https://www.lme.com/-/media/Files/News/Notices/2025/12/BRANDS-25-235-LISTING-OF-PRIMARY-NICKEL-BRAND-PTENICO.pdf?sc_lang=en
MHP022,Sorowako Limonite HPAL Project 索罗瓦科褐铁矿湿法项目,2026,规划,完工目标更新至2028年底,Vale在2026年项目资料中把完工目标更新为2028年底，替代早期曾指向2027年的时间表；这是计划更新，不作为2027或2028已发生事件。,Vale Sorowako Limonite项目页,https://vale.com/pt/indonesia/igp-sorowako-limonite
MHP035,Prony Resources New Caledonia SAS 普罗尼戈罗镍钴项目,2026,经营,制酸厂计划检修后逐步恢复,Prony披露制酸厂完成47天计划检修并开始逐步恢复。制酸系统是HPAL连续运行的重要公用工程，检修结束不代表整厂立即满负荷。,Prony Resources 2026年检修复产更新,https://fr.linkedin.com/posts/prony-resources-new-caledonia_shutdown-usineacide-nickel-activity-7498256597073223680-2GRz
NPI016,PT Kao Rahai Smelters 金川考拉海冶炼,2026,资料披露,评级材料称项目稳定经营,甘肃国投2026年跟踪评级材料将KRS描述为稳定经营项目，支持其当期在运判断；材料没有给出按月产量、客户或是否新增冰镍转换设施。,甘肃国投2026跟踪评级（上交所披露）,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2026-07-30/243808_20260730_KCLJ.pdf
NPI060,PT Ceria Nugraha Indotama (CNI) 塞里亚镍铁项目,2026,经营,经Kendari新港继续发运,2026年项目又通过Kendari新港组织镍铁发运，显示销售物流继续运行；发运记录不能单独证明设计能力已经全部释放。,Ceria官方出口声明,https://www.linkedin.com/posts/ceriacorp_ceriaberpacu-smeltermerahputih-activity-7347243429262782465-GqfE
MHP015,PT Green Eco Nickel (GEN) 格林爱科镍业,2026-01,股权,EcoPro Materials取得控制并并表,韩国交易所文件说明EcoPro Materials因董事会任命权变化取得GEN控制并自2026年1月合并报表；持股仍为EcoPro体系合计38%。,EcoPro 2026年第一季度报告,https://kind.krx.co.kr/external/2026/05/15/002871/20260515006535/11013.htm
P48,PT Hengsheng New Energy Material Indonesia 恒生新能源材料,2026-01,股权,股权结构披露,中伟贷款公告披露恒生股东为海南瑞赛可50%、华迪20%、中伟15%、SHENGWEI 15%。供矿合作方不因签约而自动成为股东。,中伟贷款公告，恒生股东中伟15%,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0123/2026012301016_c.pdf
MHP016,PT Blue Sparking Energy (BSE) 蓝焰能源,2026H1,经营,完成爬坡并达满负荷,2026年上半年材料称项目爬坡完成、达到满负荷运行；这是截至期末经营状态，与全年平均利用率目标口径不同。,Harum Energy 1H2026 Summary and Highlights,https://www.harumenergy.com/cfind/source/files/mdna/hrum---1h-2026-summary-and-highlights-new.pdf
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,2026H1,经营,按市场调整产品分配,公司上半年报告显示仍生产镍钴硫化物及电池化学品，并根据市场灵活调整硫酸镍负荷；产品结构不是固定比例。,Terrafame2026H1运营报告,https://www.terrafame.com/newsroom/news/terrafames-january-june-2026-strategy-execution-progressed-as-planned-and-profitability-improved.html
P25,PT Hanrui Nickel Indonesia 寒锐镍业,2026H1,经营,进入爬坡观察期,半年资料将项目列入投产爬坡观察阶段，运行数据和产品质量仍需后续披露；不能用人员合作或单一仪式替代真实产量。,Hanrui H1 report,https://static.cninfo.com.cn/finalpage/2026-08-01/1225450619.PDF
P29,PT JIAMANMEI NEW ENERGY 嘉曼美新能源,2026H1,资料披露,半年报列为筹建项目,伟明2026年半年报仍将嘉曼美列为筹建项目，较新规划能力为每年5万镍吨。该数值是设计目标，不应与已运行的嘉曼项目合并。,伟明环保2026年半年度报告,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2026/2026-8/2026-08-15/12495705.PDF
P32,PT CNGR Xing qiu New Energy 中伟兴球新能源,2026H1,资料披露,公开文件确认兴球权益结构,中伟2026年半年报及招股材料确认其间接持有兴球70%、Rigqueza持有30%。披露未出现首炉产品、商业销售或连续产量，仍按规划项目记录。,中伟2026半年报；本地M01全文复核,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
P33,PT CNGR Xing quan New Energy 中伟兴全新能源,2026H1,资料披露,半年报列入在建工程,中伟2026年半年报把兴全4万吨冰镍项目列入在建工程；文件未披露设备点火、首批合格产品或商业许可，4万吨仅作为建设规模。,中伟股份2026年半年度报告,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
P34,PT CNGR Xing xin New Energy 中伟兴新新能源,2026H1,建设,4万吨冰镍项目列入在建工程,中伟半年报将兴新4万吨冰镍项目列在在建工程，说明项目仍处建设投入阶段；中伟间接70%、Rigqueza 30%的结构按披露时点记录，尚无首产证据。,中伟2026半年报；本地M01全文复核,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,2026Q1,经营,Nickel Asia继续供应HPAL矿石,Nickel Asia经营文件仍记录向HPAL项目供应矿石，说明退出Coral Bay股权后供矿关系并未因此自动终止。,Nickel Asia 2026年股东会及经营文件,https://nickelasia.com/assets/documents/C2605-NIKL-2026-AGM-Definitive-Information-Statement-with-SEC-17-A-2025-AFS-and-17-Q.pdf
MHP047,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目,2026Q1,经营,矿山继续向项目供矿,Nickel Asia一季度披露仍有矿石供应记录，说明矿山与Taganito项目的经营联系继续存在；该供矿记录不能替代工厂当期产量披露。,Nickel Asia2026股东会文件与2025年报/2026Q1,https://nickelasia.com/assets/documents/C2605-NIKL-2026-AGM-Definitive-Information-Statement-with-SEC-17-A-2025-AFS-and-17-Q.pdf
P12,PT Vale Indonesia Tbk 淡水河谷索罗瓦科高冰镍项目,2026Q1,经营,三号炉重建及矿山许可影响生产,Vale一季度业绩说明Sorowako三号炉重建和RKAB矿山许可问题压低产量，随后工厂恢复运行；稳定负荷仍需后续经营披露确认。,PT Vale Indonesia 2026年第一季度业绩,https://www.vale.com/documents/44618/1438416/2026-4-29%2BPT%2BVale%2BIndonesia%2B1Q%2B2026%2BResults%2BRelease%2B-%2BEnglish.pdf/5e9c91c4-f914-6c3a-6178-6670d5116772?download=false&t=1777465695468&version=1.0
MHP007,PT Sulawesi Nickel Cobalt (SLNC) 苏拉威西镍钴,2026Q2,建设,原料准备厂完成调试,矿端原料准备厂完成调试，发电机送电，并开展投料试验、管道冲洗和水压测试；这些节点说明前端贯通，首批MHP仍未正式宣布。,MBMA 2026年二季度活动报告,https://assets.merdekabattery.com/dist/documents/MBMA_Q2_2026_Quarterly_Activities_Final.pdf
MHP015,PT Green Eco Nickel (GEN) 格林爱科镍业,2026Q2,经营,暴雨和滑坡影响生产,EcoPro二季度业绩披露暴雨与滑坡影响GEN产能利用率，随后生产逐步恢复；该事件反映运营波动，不改变一期2万镍吨设计口径。,EcoPro 2026年二季度业绩,https://ecopro.co.kr/eng/ir/file_down/id/3227
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,2026Q2,经营,持续生产和销售MHP,"瑞木第二季度生产MHP所含镍8,234吨、钴811吨，并销售镍8,967吨；销售高于产量可由库存变化造成，不代表新增设计能力。",Nickel28 Ramu2026Q2运营,https://nickel28.com/investors/news-releases/nickel-28-releases-ramu-q2-operating-performance
NPI021,PT Westrong Metal Industry 纬创金属工业,2026Q2,经营,安排检修,Harum半年经营材料披露Westrong第二季度检修并影响当期表现；这是运营维护事件，不改变项目设计能力，也不等于永久停产。,Harum Energy 1H 2026 Summary and Highlights,https://www.harumenergy.com/cfind/source/files/mdna/hrum---1h-2026-summary-and-highlights-new.pdf
NPI035,PT Bukit Smelter Indonesia (BSI) 布吉特冶炼,2026Q2,经营,供料体系持续运行,MBMA二季度活动报告显示上游冶炼厂组继续生产并参与低冰镍供料，支持BSI持续经营判断；单厂NPI与低冰镍分配仍未公开。,MBMA Q2 2026 Activities,https://assets.merdekabattery.com/dist/documents/MBMA_Q2_2026_Quarterly_Activities_Final.pdf
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,2026Q2,经营,持续生产NPI,公司2026年二季度报告继续记录恒嘉NPI生产，支持在运判断；报告未披露单厂逐笔买方和历史低冰镍转换合同的完整条款。,Nickel Industries June 2026 Quarterly Report,https://nickelindustries.com/carbon/assets/0007ea/000007/3095917.pdf
P02,PT Zhongtsing New Energy 中青新能源,2026年初,投产,二期全线投产,中伟官方报道确认中青二期在2026年初全线投产，低冰镍与高冰镍两段工序形成更完整的厂内衔接；仍不据此推定全年达产。,Zhongtsing phase II commissioning,https://cngrgf.com.cn/gsxw/1722.html
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2026-02,经营,气旋Gezani导致暂时停产,Ambatovy公告气旋Gezani损坏Toamasina厂区并导致项目暂时停产，后续恢复进度需与当月生产状态分开。,Ambatovy气旋受损公告,https://ambatovy.com/en/update-regarding-the-passage-of-cyclone-gezani/
P26,PT Huaxing Nickel Indonesia 华星镍业,2026-03,投产,P05试验线点火,华星P05富氧侧吹试验线在2026年3月点火，设备进入热态试验。点火只确认调试阶段，不代表已经连续生产合格冰镍或完成商业销售。,华星中钢洛耐具名稿,https://finance.sina.com.cn/wm/2026-03-27/doc-inhskwec8461233.shtml
NPI062,PT Bumi Mineral Sulawesi (BMS) 苏拉威西布米矿业,2026-03-29,投产,第二台炉首次出铁,BMS官方公告第二台炉完成首次FeNi出铁，扩充现有火法产线；该节点仍是FeNi，不构成后续高冰镍或硫酸镍首产。,BMS第二炉官方首产公告,https://www.bumimineralsulawesi.com/berita/Tapping-Perdana-Tungku-Kedua-Berhasil%2C-PT-BMS-Dorong-Hilirisasi-dan-Ekonomi-Daerah
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,2026-03-31,股权,法定报告列为全资子公司,住友金属矿山2026年有价证券报告在期末将CBNC列为100%持股子公司，表明剩余权益收购已反映在法定股权披露中。,住友金属矿山2026年有价证券报告,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/securities-report/20260624/S100YJ6N.pdf
MHP016,PT Blue Sparking Energy (BSE) 蓝焰能源,2026-03月底,经营,开始商业销售,Harum经营材料称项目在2026年3月底启动商业销售，确认MHP已进入市场；全年80%利用率仍是目标，并非这一日期的实际负荷。,Harum Energy 1H2026 Summary and Highlights,https://www.harumenergy.com/cfind/source/files/mdna/hrum---1h-2026-summary-and-highlights-new.pdf
RF004,PT Indonesia Qingmei Energy Materials (IQEM) 印尼青美能源材料,2026-04,股权,申请材料仍列为全资子公司,格林美香港申请稿仍将印尼青美列为100%持股子公司，说明此前提出的战略投资者安排至少在该披露时点尚未反映为已完成股权变更。,格林美2026年香港申请稿：子公司资料,https://www1.hkexnews.hk/app/sehk/2026/108471/documents/sehk26042703391.pdf
P25,PT Hanrui Nickel Indonesia 寒锐镍业,2026-04-10,投产,项目点火,项目完成点火并进入启动阶段，表明建设开始转向热态调试；点火不是稳定合格产销，也不能据此确认设计能力全部释放。,Hanrui H1 report,https://static.cninfo.com.cn/finalpage/2026-08-01/1225450619.PDF
RF002,PT Eternal Nickel Industry 永恒镍业,2026-04-20,经营,PTENICO获上期所注册,上海期货交易所批准PTENICO电解镍品牌注册并列示5万吨年能力，进一步建立国内交割渠道；注册能力不等于当期实际产量。,上期所：PTENICO电解镍注册公告,https://www.shfe.com.cn/eng/CircularNews/Circular/202604/t20260420_831190.html
P26,PT Huaxing Nickel Indonesia 华星镍业,2026-04-23,合同,P07总包合同披露,上市公司公告披露华星P07火法工程总包合同，确认后续独立工程进入建设安排；P07与P05试验线范围不同，产能不可机械相加。,P07合同2026-04-23,https://static.cninfo.com.cn/finalpage/2026-04-23/1225143464.PDF
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,2026-04-29,经营,公告部分产线临时停产检修,华友公告华飞自2026年5月1日起安排部分产线检修，背景包括硫磺价格上涨和长期高负荷运行，预计影响检修期约50%产量。,华友：华飞部分产线检修公告，2026年4月29日,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12247205&stockid=603799
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,2026-05,投产,十二条生产线全部投产,力勤资源中期报告确认KPS十二条生产线在2026年5月全部投产，设备范围由分线投运扩展至整套项目；达产状态仍以随后披露为准。,力勤资源2026中期报告,https://ir-upload.realxen.net/iis/2245/uploads/iis/2026/12330820-0.PDF
P11,PT Universe Smelter Metal Industry 寰宇冶炼,2026-05,经营,转炉运营报道确认实际生产,2026年5月具名转炉运营报道记录寰宇高冰镍生产，使项目状态从规划和关联关系落实到实际工序；报道未给出准确首炉日期和稳定产量。,I16,https://finance.sina.com.cn/wm/2026-05-20/doc-inhypxkk9661332.shtml?froms=ggmp
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2026-05-01,股权,住友将54.17%权益转让给AMRI,Ambatovy公告住友商事把原持有的54.17%权益转让给由Essenwood Partners与Zungu联合体牵头的AMRI，控制股东由此变化。,Ambatovy：AMRI取得多数权益,https://ambatovy.com/en/amri-acquires-majority-stake-in-ambatovy/
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,2026-05-07,经营,Sherritt暂停直接参与古巴合资业务,受燃料短缺和制裁压力影响，Sherritt于2026年5月7日暂停直接参与古巴合资业务，传统内部供应链由此中断。,Sherritt2026Q2业绩,https://sherritt.com/sherritt-reports-second-quarter-2026-results/
NPI041,PT Obsidian Stainless Steel (OSS) 德龙二期,2026-05-25,经营,官方运营交流访问,大唐海外投资与象屿OSS项目开展经营交流，说明项目及配套电厂在2026年仍有运营活动；访问记录不能证明全部镍铁和不锈钢产线满负荷。,大唐海外投资与象屿OSS项目交流,https://ht.china-cdt.com/dthwtz/xwzx/jygl/2026/5/I1508530722397224960.html
P09,PT JIAMAN NEW ENERGY 嘉曼新能源,2026-06,扩产,第三条线进入试产,第三条生产线于2026年6月试产，反映项目按分线节奏扩充；不能把总规划能力提前套到首线调试阶段。,伟明环保2026年半年度报告,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2026/2026-8/2026-08-15/12495705.PDF
NPI031,PT Oracle Nickel Industry (ONI) 奥拉克镍业,2026-06-17,规划,退出冰镍转换投资,Nickel Industries正式撤回ONI冰镍转换项目投资，意味着该方案不再按原路径推进；不能继续把转换炉写成在建、已投产或既成高冰镍能力。,Withdrawal from matte conversion project,https://nickelindustries.com/carbon/assets/0007ea/000006/3078560.pdf
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,2026-06-22,经营,加拿大精炼厂耗尽古巴进料,公司披露Fort Saskatchewan精炼厂在6月22日前后耗尽来自古巴的中间品进料；二季度仍有少量MSP对外销售，产品可能改道其他买方。,Sherritt2026Q2业绩,https://sherritt.com/sherritt-reports-second-quarter-2026-results/
MHP023,PT Teluk Metal Industry (TMI) 海湾金属TMI湿法项目,2026-06-24,股权,NIC签署17.5%投资协议,Nickel Industries同意投资1.69亿美元取得TMI HPAL项目17.5%权益，约定2026年11月26日付款；截至研究日付款和全部成交仍待核。,NIC Strategic investment in TMI HPAL project,https://nickelindustries.com/carbon/assets/0007ea/000006/3081331.pdf
MHP028,PT Chengsheng New Energy (CNE) 诚盛新能源,2026-06-24,合同,披露Sampala换取诚盛权益框架,Nickel Industries披露绑定框架，拟以Sampala矿山30%权益交换取得JAYA所持诚盛85.7%股权的收购权，交易仍待最终协议、尽调和审批。,NIC Strategic partnership monetises Sampala and acquires CNE,https://nickelindustries.com/carbon/assets/0007ea/000006/3081388.pdf
MHP043,Piauí Níquel Metais S.A. 皮奥伊镍项目,2026-07,股权,BNDES批准1亿雷亚尔设备融资,BNDES批准约1亿雷亚尔设备融资，支持Piauí商业项目推进；单项设备融资获批不代表全部建设资金落实或已经开工。,CNN采访公司Piauí融资进度,https://www.cnnbrasil.com.br/infra/bndes-aprova-r-100-milhoes-para-projeto-da-brazilian-nickel-no-piaui/
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2026-07,经营,气旋停产后开始重启生产,Ambatovy恢复文章说明项目在气旋停产后开始重启生产，但没有宣称已经恢复满负荷或达到全年设计产量。,Ambatovy恢复生产文章,https://www.linkedin.com/pulse/from-recovery-renewal-ambatovy-vdeoe
NPI053,PT Bahodopi Nickel Smelting Indonesia (BNSI) 巴哈多比镍冶炼,2026-07-22,建设,HPAL高压釜到场,Vale公告Sambalagi HPAL项目高压釜抵达现场，说明湿法项目建设取得设备里程碑；原表机械完工和投产时间仍属于目标，不能提前确认为实际。,Sambalagi HPAL autoclave arrival,https://vale.com/in/w/sambalagi-hpal-project-reaches-major-milestone-with-autoclave-arrival-strengthening-the-future-of-sustainable-downstreaming/-/categories
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,2026-07-29,投产,首批MHP产出,Nickel Industries公告晨曦产出首批MHP，确认HPAL主流程贯通。首批产品与工业许可、首次商业销售和稳定达产仍是不同节点。,NIC Maiden MHP Production at ENC,https://nickelindustries.com/carbon/assets/0007ea/000007/3095817.pdf
NPI043,PT Gunbuster Nickel Industry (GNI) 德龙三期,2026-08,经营,三座冶炼厂中两座停运,GNI在债务重整和经营压力下收缩生产。公司声明称三座冶炼厂中两座已经停止，一座冶炼厂及配套电厂继续运行。,GNI公司2026年生产与重整声明,https://gunbusternickelindustry.com/zh/2026/08/10/press-release-optimalisasi-tenaga-kerja-sebagai-upaya-menjaga-keberlangsungan-operasional-perusahaan/
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,2026-08-01,投产,KPS项目达产,力勤披露KPS在十二条线全部投产后，于2026年8月1日达到设计生产状态。该节点是公司口径的达产日，后续逐炉负荷和客户合同仍待披露。,力勤2026招股说明书公开文本,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12593425&stockid=
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,2026-08-11,投产,首批阴极镍产出,晨曦在首批MHP后产出首批阴极镍，证明厂内后端精炼路线贯通；截至公告日，硫酸镍成品首产仍未单独确认。,NIC Maiden Nickel Cathode at ENC,https://nickelindustries.com/carbon/assets/0007ea/000008/3101262.pdf
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,2026-09-10,经营,矿山维护后复采,Eramet宣布WBN矿山在约四个月维护后恢复采矿；这是矿山端运行节点，不应改写为RKEF冶炼厂同日停产或复产。,Eramet：WBN矿山恢复运营,https://www.eramet.com/fr/news/pt-weda-bay-nickel-redemarre-ses-operations-minieres/
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,2026-09-15,经营,爬坡受供水约束,运营更新称工厂四周内达到约50%设计水平，但干旱供水压力可能使负荷降至约30%；当时商业销售许可仍在办理。,NIC Operating Update,https://nickelindustries.com/carbon/assets/0007ea/000009/3120121.pdf
MHP023,PT Teluk Metal Industry (TMI) 海湾金属TMI湿法项目,2027年中,规划,预计开始调试,投资公告把2027年中列为项目预计调试节点，属于具有合同背景的前瞻时间表；在实际调试公告出现前不能写成既成事实。,NIC Strategic investment in TMI HPAL project,https://nickelindustries.com/carbon/assets/0007ea/000006/3081331.pdf
MHP023,PT Teluk Metal Industry (TMI) 海湾金属TMI湿法项目,2027-09,规划,预计达到名义产能,公告预计项目于2027年9月达到名义产能，这是建设保证中的目标节点；仍受工程、融资和调试进度影响，不能提前计入现役供应。,NIC Strategic investment in TMI HPAL project,https://nickelindustries.com/carbon/assets/0007ea/000006/3081331.pdf
MHP026,PT Anugrah Neo Energy Materials 尼奥能源湿法项目,2029年底,规划,官网目标投运,Neo Energy官网把HPAL项目投运目标列为2029年底，并规划超过6.1万镍吨MHP能力；该日期属于目标，尚无首产或商业运营证据。,Neo Energy HPAL项目官网,https://neoenergy.co.id/hpal
MHP043,Piauí Níquel Metais S.A. 皮奥伊镍项目,2030,规划,公司最新首产目标,公司采访把商业项目首产目标指向2030年，前十年平均约2.7万镍吨、900钴吨；该日期仍是规划，早期资料2029应视为旧目标。,CNN采访公司Piauí融资进度,https://www.cnnbrasil.com.br/infra/bndes-aprova-r-100-milhoes-para-projeto-da-brazilian-nickel-no-piaui/
P27,PT Huashuo Nickel Indonesia 华硕镍业,2025-04-29,资料披露,股东大会资料列示华硕子公司,华友2024年度股东大会资料单独列示PT Huashuo Nickel Indonesia，持股100%，并与华兴分别记录。这是公司身份的披露日期。,华友2024年度股东大会会议资料,https://www.huayou.com/Public/Uploads/uploadfile2/files/20250429/MeetingMaterialsfor2024AnnualGeneralMeeting.pdf
NPI020,PT Sunny Metal Industry 旭日金属工业,2021-08,成立,旭日设立,Sunny本厂供应链尽责报告将公司设立时间列为2021年8月。,Sunny 2025/26供应链尽责管理报告,https://www.walsin.com/wp-content/uploads/2026/03/供應鏈盡責管理報告Supply-Chain-Due-Diligence-Report-1.pdf
NPI020,PT Sunny Metal Industry 旭日金属工业,2022-01,建设,旭日开始建设,Sunny在纬达贝园区启动冶炼项目建设，随后配置四套RKEF设备。,Sunny 2025/26供应链尽责管理报告,https://www.walsin.com/wp-content/uploads/2026/03/供應鏈盡責管理報告Supply-Chain-Due-Diligence-Report-1.pdf
GL001,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant 欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂,1982,投产,开始生产（底表投产年）,欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-001 · 总表第2行,library/global-register.csv
GL001,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant 欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂,2024,运营变化,停产(可复产),2021-2023年间与瑞士贸易商Arrow Metals & Trading AG的不利合同安排导致严重亏损（据2025年刑事指控），叠加能源/镍价波动，最终于2024年2月2日进入破产程序；2024年5月被土耳其Yıldırım Group收购，工会称预计约3个月内复产，但本次研究未能查得2024年下半年至2025-2026年是否已实际恢复生产的确凿证据（截至2025年9月的报道仅涉及对前高管的刑事指控，未提及当前生产状态）,全球普查底表 · NI-001 · 总表第2行,library/global-register.csv
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2015,投产,开始生产（底表投产年）,梅塔镍钴(Meta Nikel Kobalt)格尔德斯(Gördes)HPAL厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-002 · 总表第3行,library/global-register.csv
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-002 · 总表第3行,library/global-register.csv
GL003,Çaldağ Nickel Laterite Atmospheric Heap Leach Project 恰尔达(Çaldağ)红土镍常压堆浸项目,2013,运营变化,保养维护(C&M),露天矿开采需清除约10万棵松树，土耳其原已颁发的林业许可被宪法法院撤销；尽管2010年6月土耳其修订矿业法试图解决此类问题，但相关部门此后未再重新颁发许可，项目遂陷入停滞并被置于保养维护状态,全球普查底表 · NI-003 · 总表第4行,library/global-register.csv
GL004,LARCO (GMM S.A.) Larymna Ferronickel Smelter 拉尔科(LARCO)拉里姆纳镍铁冶炼厂,1966,投产,开始生产（底表投产年）,拉尔科(LARCO)拉里姆纳镍铁冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-004 · 总表第5行,library/global-register.csv
GL004,LARCO (GMM S.A.) Larymna Ferronickel Smelter 拉尔科(LARCO)拉里姆纳镍铁冶炼厂,2022,运营变化,永久关闭,"长期亏损与债务危机（截至停产时总债务约4.7亿欧元，其中3.512亿欧元欠国家电力公司PPC）；多轮私有化/资产处置招标失败（2021年6轮非约束性投标未能达成交易；2024年8月GEK Terna/AD Holdings财团以'全球能源和镍产品市场不利变化'及法律纠纷为由退出）；2020年2月起进入特别管理程序，2022年7月25日工厂正式全面停产，1,061名员工遭解雇（约400人短期续聘、约100人退休），希腊国家为此支付遣散费约2,237.7万欧元",全球普查底表 · NI-004 · 总表第5行,library/global-register.csv
GL005,Nickelhütte Aue GmbH 奥厄镍冶炼厂(Nickelhütte Aue),2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-005 · 总表第6行,library/global-register.csv
GL006,Ringerike Nikkelverk (Ringerike Nickel Works) 灵厄里克镍冶炼厂(Ringerike Nikkelverk),1688,投产,开始生产（底表投产年）,灵厄里克镍冶炼厂(Ringerike Nikkelverk)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-006 · 总表第7行,library/global-register.csv
GL006,Ringerike Nikkelverk (Ringerike Nickel Works) 灵厄里克镍冶炼厂(Ringerike Nikkelverk),1920,运营变化,永久关闭,"埃尔特利恩主矿区自1880年前后开始产量下滑,1903年永久关闭;公司1913年曾尝试复产,仅维持数年后于1920年正式宣告破产，全面停产。停产背景与19世纪末新喀里多尼亚、加拿大萨德伯里新发现的大规模优质镍矿引发的国际镍价竞争压力有关(与同期瑞典克莱瓦镍矿、奥地利施拉德明镍厂关闭原因一致)，但挪威大百科全书原文未直接点明该因果关系，此处为本研究的合理推断。",全球普查底表 · NI-006 · 总表第7行,library/global-register.csv
GL007,Evje Nikkelverk (Flåt Nickel Smelter) 埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）,1872,投产,开始生产（底表投产年）,埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-007 · 总表第8行,library/global-register.csv
GL007,Evje Nikkelverk (Flåt Nickel Smelter) 埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）,1946,运营变化,永久关闭,"弗洛特矿藏枯竭(矿井最终深度422米,已低于海平面),矿山与配套冶炼厂同步关闭;二战结束后未复产",全球普查底表 · NI-007 · 总表第8行,library/global-register.csv
GL008,Senjen Nickel Works (Senjens Nikkelverk) 塞尼亚(Senjen)镍矿冶炼厂,1883,投产,开始生产（底表投产年）,塞尼亚(Senjen)镍矿冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-008 · 总表第9行,library/global-register.csv
